Date,Open,High,Low,Close,Adj Close,Volume
2020-04-24,21.740000,21.820000,20.370001,20.879999,20.852659,68819700
2020-04-27,21.540001,22.139999,21.100000,21.570000,21.541756,38416700
2020-04-28,22.980000,23.610001,22.590000,23.350000,23.319427,58267500
2020-04-29,24.000000,24.120001,23.160000,23.660000,23.629021,31532100
2020-04-30,22.590000,23.330000,22.459999,22.770000,22.740187,46293100
2020-05-04,21.950001,22.090000,21.780001,21.889999,21.875748,32042300
2020-05-05,22.200001,23.370001,21.910000,22.700001,22.685221,51925500
2020-05-06,22.600000,22.780001,22.000000,22.240000,22.225521,29178900
2020-05-07,22.379999,22.480000,21.129999,21.440001,21.426043,52200500
2020-05-08,22.020000,22.770000,21.900000,22.320000,22.305468,35745100
2020-05-11,22.170000,23.030001,22.170000,22.379999,22.365429,38216500
2020-05-12,22.510000,22.660000,21.590000,21.610001,21.595932,43248200
2020-05-13,21.740000,21.940001,21.200001,21.600000,21.585938,34711100
2020-05-14,21.309999,22.590000,20.730000,22.549999,22.535318,61771700
2020-05-15,22.500000,22.770000,21.629999,21.629999,21.615917,37767500
2020-05-18,22.450001,22.940001,22.010000,22.670000,22.655241,49600900
2020-05-19,22.629999,22.719999,21.610001,21.690001,21.675879,40881800
2020-05-20,21.930000,21.950001,21.360001,21.600000,21.585938,41396000
2020-05-21,21.719999,22.840000,21.709999,22.840000,22.825130,60803900
2020-05-22,22.600000,23.350000,22.209999,22.959999,22.945051,51255200
2020-05-25,23.910000,24.190001,23.389999,23.959999,23.944399,28158200
2020-05-26,24.330000,24.420000,22.860001,23.010000,22.995020,53066900
2020-05-27,23.639999,23.730000,23.160000,23.730000,23.714550,36440100
2020-05-28,23.490000,24.049999,23.309999,23.309999,23.294823,23918500
2020-05-29,23.180000,23.299999,22.709999,23.040001,23.025000,53968500
2020-06-01,22.830000,23.850000,22.700001,23.660000,23.660000,39221300
2020-06-02,24.000000,25.299999,23.830000,25.250000,25.250000,57810700
2020-06-03,26.299999,26.770000,25.799999,25.920000,25.920000,58718200
2020-06-04,25.770000,26.830000,25.480000,26.670000,26.670000,44336600
2020-06-05,28.160000,28.700001,27.180000,27.260000,27.260000,64665500
2020-06-08,27.610001,28.480000,27.510000,28.360001,28.360001,31763300
2020-06-09,27.570000,28.100000,27.260000,27.820000,27.820000,33377300
